"hit_index","original_stage","phrase_priority_tier","reader_plaintext","gordon_plaintext","ciphertext","reader_reflector","reader_start_left_to_right","reader_rings_left_to_right","reader_active_pairs","gordon_tier","gordon_literal_state_index","gordon_reflector","gordon_rotors_left_to_right","gordon_start_left_to_right","gordon_rings_left_to_right","gordon_plugboard_pair_count","gordon_plugboard_pairs","verification_ciphertext"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22536688504","B","IV I II","EPS","YVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22548570556","B","IV I II","FPS","ZVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8650360723","B","II I V","XPR","ABO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8662242775","B","II I V","YPR","BBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8674124827","B","II I V","ZPR","CBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8685989303","B","II I V","APR","DBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8697871355","B","II I V","BPR","EBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8709753407","B","II I V","CPR","FBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8721635459","B","II I V","DPR","GBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8733517511","B","II I V","EPR","HBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
